('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('白酒龙头王者归来,利润报增15倍,将超越亚夏汽车走出来的连板走势！#华测导航 sz300627[股票]# #锐奇股份 sz300126[股票]# #惠伦晶体 sz300460[股票]# 许楚沛分析...', '2018-07-16 23:26:58')
('5G概念第一龙头妖股，年报拟10转45派21获批，妖王势不可挡 $恒瑞医药 sh600276$$亚夏汽车 sz002607$$青岛海尔 sh600690$ 财经妖王的...', '2018-07-16 22:50:52')
('钢铁第一龙头现世，主力携手机构8亿抢筹，散户：18年了头一次满仓干 $中兴通讯 sz000063$ $亚夏汽车 sz002607$ $宏川智慧 sz002930$ 财经妖王的...', '2018-07-16 22:47:32')
('竞价看异动：超跌概念股$维科技术 sh600152$ 、英特集团，业绩预增概念股$京威股份 sz002662$ ，5G概念股纵横通信、中兴通讯，并购重组概念股盛洋科技、盛屯矿业，富勒烯概念股通产丽星，独立个股亚夏汽车、三联虹普', '2018-07-16 21:26:40')
('天华净超昨天的炸板大面，让题材股高度有所限制，现在最高的也就3连板，3只3连板还都是缩量的，高位接力情绪不高了，昨天亚夏汽车的异动，可能代表的是前期强势股、独角兽的反抽，所以关注下前期强势股有没有止跌的', '2018-07-16 21:12:21')
('这一波，亚夏汽车，需要反省。没赚几个点，赔了许多精力和时间', '2018-07-16 21:01:24')
('一代股神的滴血经验：绝不要小看分时图，熟记后，精准把握高低点 $华斯股份 sz002494$ $合诚股份 sh603909$ $长航凤凰 sz000520$ $亚夏汽车 sz002607$ 小正太Ente...', '2018-07-16 13:40:45')
('防失忆记录 18/07/16 一卫光生物 + cm 股性，引导，事件分歧，方向，应排撤宏达电子 + cm 方向，应排撤沃特股份 + 错过5g前排首板，就挑了这个，流行概念都有，然忽视了将要减持飞荣达 o 然机构星云股份 - ...展开全文c', '2018-07-16 11:34:00')
('亚夏汽车，今天不是买点，它会走一个破位下跌的实体阴线，或者直接说需要一个跌停板，才会出现最佳买点。时间不会太久。可以先加到自选。', '2018-07-16 11:00:35')
('周一下午:人工智能第一过气龙头，突遭机构17亿抢筹，散户的春天来了！$亚夏汽车 sz002607$$万科Ａ sz000002$$士兰微 sh600460$ 古泽选股的...', '2018-07-16 07:57:56')
('$赫美集团 sz002356$ 今天几乎逼近跌停，前期的一些高位股、妖股统统跳水！（超频三/亚夏汽车/欣锐科技等）前期陈香博的龙回头$晓程科技 sz300139$ 也是奔向跌停，还好前期撤离的快，虽然没拿到最高的利润，有盈利就好！对于赫美有两种情况，一、借恐慌性抛售进行底部吸筹进行二次拉升，二就 ...展开全文c', '2018-07-16 05:03:01')
('5G概念龙头股，主力653亿增持，净利飙涨286%，小散：躺着赚钱！ $恒瑞医药 sh600276$$亚夏汽车 sz002607$$青岛海尔 sh600690$ 财经妖王的...', '2018-07-16 04:04:45')
('金不换的“仙人指路”秘诀，熟悉之后，股市掌握在你手中 $中兴通讯 sz000063$ $亚夏汽车 sz002607$ $宏川智慧 sz002930$ 财经妖王的...', '2018-07-16 04:00:20')
('2018.7.16牛背复盘$上证指数 sh000001$ $意华股份 sz002897$ #今日收评#大盘继续调整，妖股天华超净结束，盘面虽然不是太好，但这样的时候也是比较容易出现新周期龙头的时期，从宏川智慧到亚夏汽车到欣锐科技到福达合金到天华超净，每一次老周期核心龙头之后都会紧随跟随新周期龙头的出现。上午中 ...展开全文c', '2018-07-16 03:43:54')
('说好的邦讯技术8.32~8.62介入 你们干没干 这两天也是给了这个价位进场的机会 说好的丰元股份24块干你们干没？说好的亚夏汽车50%的位置9.7元是主力进去的位置 你们干没？反正我干了 ！金石资源有朋友问干不干 没到我说的16块我是不干 相信明天会踩到16 到时候再弄它', '2018-07-16 03:26:15')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-16 02:48:13')
('$亚夏汽车 sz002607$周五就看好你了，应该能来一波吧', '2018-07-16 02:21:45')
('一天20点的大面一次都没逃脱，从万兴到宏川，到亚夏汽车，到晓程科技，到今天的天华超净，唉，这究竟是怎么了，以后到底还要不要信仰？ |宜昌·茅坪...', '2018-07-16 01:56:44')
('发布了头条文章：《文轩论股：包钢股份+亚夏汽车+潍柴动力+东旭光电》$亚夏汽车 sz002607$ $上证指数 sh000001$ \ue627 股票 #股票分析# |文轩论股：...', '2018-07-16 01:47:06')
('本轮行情的主流特征：强势超级牛股，一旦见顶，很难有反弹，比如：$亚夏汽车 sz002607$ ，$猛狮科技 sz002684$ ，$欣锐科技 sz300745$ ，包括这里的 $天华超净 sz300390$ 均是如此。一旦见顶，千万不要进场博反弹。#世界杯经济学# #关税反击战#网页链接', '2018-07-16 01:34:40')
('开盘了，集合竞价后，选几支票做#股票分析#关注的票留言会依次回复$华大基因 sz300676$$亚夏汽车 sz002607$$文灿股份 sh603348$ ...展开全文c', '2018-07-15 21:46:49')
('大弯区第一龙头横空出世，机构621亿锁仓，下周将上演青蛙变王子 $淳中科技 sh603516$ $茂业商业 sh600828$ $光库科技 sz300620$ $亚夏汽车 sz002607$ 姚晓浪的秒...', '2018-07-15 09:24:25')
('极少人知道的“阳包阴”形态战法，一旦遇到，立即买入！#五粮液 sz000858[股票]# #亚夏汽车 sz002607[股票]# 小雅分析的...', '2018-07-15 05:40:10')
('A股黄金底已出，下周大盘反弹行情来袭，我要进场了#永利股份 sz300230[股票]# #亚夏汽车 sz002607[股票]# 小雅分析的...', '2018-07-15 05:32:24')
('还是把大盘走势最不好的那个区间中，板块市值减少不多的板块列出来，供大家参考。有2点要说明：1、对抗指数下跌的第一名，汽车服务板块并不真实，只是受到002607 亚夏汽车单支股票连续上涨影响；2、航空运输近期的跌幅不小，技术面上可以用补跌来解释，基本面上跟汇率密切相关。', '2018-07-15 03:59:38')
('发布了头条文章：《主力15亿抢筹,7月新妖崭露头角？维业股份+中旗股份+亚夏汽车》 $维业股份 sz300621$ $中旗股份 sz300575$ $亚夏汽车 sz002607$ #股票分析# #今日看盘# #短线牛股# |主力15亿抢...', '2018-07-15 03:25:40')
('#002607亚夏汽车##000636风华高科##300104乐视网##000670盈方微#又一快递股王者归来，遭游资帮抄底资金入场，后市有望逆天改命了暴涨13个涨停板！ 先锋晓晓的...', '2018-07-15 01:49:42')
('$美丽生态sz000010$$宁波海运sh600798$#000063中兴通讯##002607亚夏汽车#人工智能第一黑马股携款归来，底部现“一阳指”形态，后市收9涨停不是梦！ 先锋晓晓的...', '2018-07-15 01:36:40')
('A股最“悲催”的股民，遭主力37亿资金逆流而上，小散:完美踏空#永利股份 sz300230[股票]# #亚夏汽车 sz002607[股票]# 小雅分析的...', '2018-07-15 01:27:03')
('发布了头条文章：《亚夏汽车(002607)重大事项概念，遭机构满仓疯狂抢筹，将暴涨！》 #002607亚夏汽车# $亚夏汽车 sz002607$ |亚夏汽车(0...', '2018-07-14 23:15:57')
('5G概念妖王强势归来，超100亿增持，后市有望赶超罗牛山$东方财富 sz300059$$亚夏汽车 sz002607$ 小慧看盘的...', '2018-07-14 22:12:26')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨 $中葡股份 sh600084$ $云图控股 sz002539$ $亚夏汽车 sz002607$ $天齐锂业 sz002466$ 我的小蜗牛...', '2018-07-13 09:45:34')
('资深操盘手自爆主力吸筹留下的K线形态，学会个股翻倍不是问题$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-13 05:26:58')
('发布了头条文章：《002607 亚夏汽车:黑马被严重低估，开始绝地反击！》 #股票分析# #牛股推荐# $亚夏汽车 sz002607$ |002607 亚...', '2018-07-13 05:05:28')
('手上个股！亚夏汽车早上翻红已出小赚三点！否则午后白干！早上竞价荣安地产！冲板失败横了一天！下周吃面！早上打板天华超净！许久不打龙头了，枉称龙头哥！结果尾盘炸板，本来早上缩量就有炸板预期，但今天打板是模式内的！吃面也要打！长盛也是助攻，尾盘炸板死了！龙头正常只有一个！尾盘竞价 ...展开全文c', '2018-07-13 04:18:53')
('股市唯一赚钱指标—“MACD”，堪称股市经典，建议永久珍藏$方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-13 03:59:59')
('17岁股市奇才曝：股市“量比选股”，字字珠玑,背熟6句可实现千万$远望谷 sz002161$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $中兴通讯 sz000063$ 汪振峯1983...', '2018-07-13 03:58:18')
('怎么选有主力控盘的股票，股市天才分享20年操盘经验，直击强势股$方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-13 03:56:40')
('极其罕见的短线买卖“指标之王”CCI，学会可在股市翻云覆雨$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-13 03:50:21')
('$西宁特钢sh600117$$中国电建sh601669$#002607亚夏汽车##002594比亚迪#救市奇兵从天而降，主力逼空狂砸169亿待场，A股迎翻天质变！ 先锋晓晓的...', '2018-07-13 03:38:10')
('#002607亚夏汽车##002594比亚迪##300707威唐工业##000636风华高科#银行行业第一白马股火力全开，下周势如破竹，7月有望迎来持续性涨停! 先锋晓晓的...', '2018-07-13 03:34:48')
('$申万宏源sz000166$$包钢股份sh600010$#002607亚夏汽车##300750宁德时代#BOLL买卖精髓详解：牢记炒股一辈子都不会输，少而精却犹如利剑 先锋晓晓的...', '2018-07-13 03:32:13')
('发布了头条文章：《主力9亿注资，7月首席妖王早已内定？环能科技+恒康医疗+亚夏汽车》 $环能科技 sz300425$ $恒康医疗 sz002219$ $亚夏汽车 sz002607$ #股票分析# #今日看盘# #短线牛股# |主力9亿注...', '2018-07-13 02:17:25')
('A股无所不能的均线秘籍：此线往上拐，回踩坚决买 $漳州发展 sz000753$ $隆盛科技 sz300680$ $亚夏汽车 sz002607$ $人人乐 sz002336$ 李域悟看盘...', '2018-07-13 01:53:42')
('#603348文灿股份##000725京东方A##002607亚夏汽车##300750宁德时代#特斯拉第一妖王出世，主力3.6亿重仓进场，将复制中科曙光 先锋晓晓的...', '2018-07-12 23:09:45')
('#002607亚夏汽车##000636风华高科##300104乐视网##000670盈方微#A股能赚钱的只有一种人，看懂这一票交易文章，可长期生存 先锋晓晓的...', '2018-07-12 23:07:56')
('#601330绿色动力##300266兴源环境##002607亚夏汽车##300718长盛轴承#睡不着的投资者都在看：股市大盘收阳反转，即将一飞冲天！ 先锋晓晓的...', '2018-07-12 22:40:35')
('$西宁特钢sh600117$$中国电建sh601669$#002607亚夏汽车##002594比亚迪#中国股市大盘收阳反转了，或迎惊天巨变！散户抓住罕见机会！ 先锋晓晓的...', '2018-07-12 22:37:58')
('发布了头条文章：《庄家就怕你使用换手率选股法，多看一分钟都是在赚钱！》 #002607亚夏汽车##002594比亚迪##300707威唐工业##000636风华高科#|庄家就怕你...', '2018-07-12 21:41:38')
('乐视网：66岁最“傻”大妈，融资豪购6万股，亏到怀疑人生，爆仓收场$亚夏汽车 sz002607$$万科Ａ sz000002$$士兰微 sh600460$ 古泽选股的...', '2018-07-12 10:09:40')
('发布了头条文章：《机构8亿注资，冲击7月最强妖王榜首？亚夏汽车+风华高科+二三四五》 $亚夏汽车 sz002607$ $风华高科 sz000636$ $二三四五 sz002195$ #股票分析# #今日看盘# #短线牛股# |机构8亿注...', '2018-07-12 09:51:13')
('宏川智慧和亚夏汽车这两个小家伙 教父马上就对你们失去耐心了，明天是你们俩最后的期限，涨不过创业板你们是想闹哪样，还是妖股么？$宏川智慧 sz002930$ $亚夏汽车 sz002607$', '2018-07-12 09:37:50')
('手上个股:早上冲高止盈晓程科技！午后收绿！说了只是买个套利板，要是今天你还去追！你就吃面了！早上抄底亚夏汽车！小赚中！今天落后大盘！但没关系！早上给朋友的盐津铺子倒是涨停！收了个小红包也挺好的！正常情况下我只展示短线仓位！中线很难做！就少折腾了！', '2018-07-12 03:53:33')
('今天不发截图了，心情不好。合金没有看到丝毫护盘迹象，没有逃顶…明天考虑出货了，强势股在突然利空袭击下变成弱势股，包括上次的亚夏汽车，强的时候非常强，但稍微不对立马众人推…变成极弱股。吃了亚夏和合金这两次亏，以后吸取教训了。绿色动力开盘下杀的厉害，卖在零轴附近。最后说下，最近明显感 ...展开全文c', '2018-07-12 03:09:25')
('股市教学如何用底部十字星 选择即将爆发选股牛股 #亚夏汽车 sz002607[股票]# 杰森财经的...', '2018-07-12 02:53:44')
('重磅消息猛砸A股，一利空来袭！神秘资金进场收割表演开始！#五粮液 sz000858[股票]# #亚夏汽车 sz002607[股票]# 小雅分析的...', '2018-07-12 02:45:50')
('漂亮，$亚夏汽车 sz002607$ 午后也开始放量反弹拉升了，目前3个多点！该股这几天我们可谓是反复推荐跟踪的，跟上的朋友目前都获利丰厚了！ 我们近期推荐的票都是大涨特涨，真正的把握到了七月翻身仗！再加把劲，看能不能翻翻！', '2018-07-12 02:39:26')
('发布了头条文章：《MACD指标入门：利用MACD的指标寻找支撑或阻力》$申万宏源sz000166$$包钢股份sh600010$#002607亚夏汽车##300750宁德时代#|MACD指标入...', '2018-07-12 02:39:17')
('#002607亚夏汽车##000636风华高科##300104乐视网##000670盈方微#医药第一股57跌至5元,横盘8年今现金叉，主力增持18亿，有望暴涨！ 先锋晓晓的...', '2018-07-12 02:20:39')
('#603348文灿股份##000725京东方A##002607亚夏汽车##300750宁德时代#最常用的的十大经典常用指标——“OBOS”，短线买卖关键信号，决定成败！ 先锋晓晓的...', '2018-07-12 02:17:54')
('$西宁特钢sh600117$$中国电建sh601669$#002607亚夏汽车##002594比亚迪#区块链第一妖王，主力携手温州帮抢筹，入选妖王目标十连板 先锋晓晓的...', '2018-07-12 02:11:17')
('#002607亚夏汽车##002594比亚迪##300707威唐工业##000636风华高科#智能穿戴第一妖王，底部横盘2年终现金叉，预言帝：必登龙虎榜！ 先锋晓晓的...', '2018-07-12 02:07:37')
('发布了头条文章：《主力巨资增持新妖崭露头角？002607亚夏汽车+601330绿色动力》 $亚夏汽车 sz002607$ $绿色动力 sh601330$ #股票分析# #个股推荐与走势分析# #短线牛股# |主力巨资增...', '2018-07-12 00:07:29')
('今天反弹大快，也超出我的预计，所以我没来得及入手！本来很看好南京证券，但快速涨停没给机会！于是低吸了一点亚夏汽车！有点遗憾！但行情并没有真正企稳，稳键选手不要急！走好后大把机会，不要追高！还好中线帐户前天买了点顺鑫农业！早上冲高已止盈晓程科技十七点！午后应该是强势横盘，可小仓 ...展开全文c', '2018-07-11 23:55:04')
