('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('5G概念股：超讯通信、通宇通讯、新易盛、移为通信、纵横通信', '2018-04-10 22:50:23')
('市场开盘惯性冲高，热度很高涨，但是不宜追涨，每次高开市场都要冲一波然后回踩，大盘下灌后立即有掉头向上，持续逼空。直播近期反复推荐低吸的5G概念股之美格智能持续上涨，今天大涨5%，恭喜低吸铁粉，还有剑桥科技也在稳步上涨中，纵横通信目前停牌，复盘后会有惊喜给大家，后市坚定看涨这三剑客！', '2018-04-10 21:53:16')
('近期反复提示大家要低吸的5G概念股之美格智能今天再次火箭发射，大涨6.5%，这样的实力大家还满意吗？还有上周三尾盘送出的福利金股之剑桥科技今天也再次拉升，一起推荐的纵横通信目前停牌中，复盘后肯定会有惊喜！', '2018-04-09 22:03:35')
('五 G：光库科技 中通国脉 华脉科技 纵横通信 武汉凡谷 吉大通信 移为通信蕊片替代：北京君正 上海新阳 国科微 富瀚微 科大国创 中科创达 紫光国芯、江丰电子资 源：中科三环，英洛华 雷鸣科化 碳元科技 江粉磁材 露天煤业 山西焦化新能源车：京威 安凯客车、众泰汽车 中通客车 科泰电源 英搏尔', '2018-04-09 20:24:38')
('直播上周三送出的福利金股之剑桥科技再次拉升，该股是我们的老情人了，前面成功把握到了两波行情，今天的这次拉升再次把握，恭喜有紧跟随直播的铁粉，坚定持股，继续等待拉升！还有一起推荐的美格智能也继续看涨，纵横通信目前停牌，复盘后也会有惊喜！', '2018-04-08 23:08:09')
('【停牌个股】福鞍股份、纵横通信、正源股份、包钢股份、阿科力、钱江水利、高升控股、*ST众和【复牌个股】厦华电子、锦富技术、正业科技、华铭智能、濮耐股份、振华股份', '2018-04-08 22:08:43')
('发布了头条文章：《纵横通信603602：主力悄悄布局,后期走势精准分析》#财经头条文章# #纵横通信 sh603602[股票]# |纵横通信60...', '2018-04-08 21:49:58')
('复牌公司：振华股份、腾信股份、正业科技、濮耐股份、新赛股份、厦华电子、天广中茂、美凯龙、华铭智能、正业科技停牌公司：阿科力、惠威科技、纵横通信、福鞍股份', '2018-04-08 21:10:09')
('停牌高升控股、*ST众和、*ST德力、惠威科技、包钢股份、正源股份、福鞍股份、纵横通信、阿科力', '2018-04-08 20:52:35')
('今日停牌：惠威科技 002888：股价异动 停牌核查****福鞍股份 603315：停牌筹划重大资产重组纵横通信 603602：停牌筹划重大资产重组钱江水利 600283 ：实控人筹划与公司相关的重大事项 股票停牌包钢股份 600010：筹划非公开发行股票 股票停牌#微博股票# #今日看盘#', '2018-04-08 20:39:34')
('复牌：濮耐股份 锦富技术 盛屯矿业 美凯龙 腾信股份 新赛股份 振华股份 天广中茂 渤海活塞 正业科技 华铭智能 厦华电子停牌：惠威科技 福鞍股份 高升控股 纵横通信 中工国际 *ST德力 阿科力 包钢股份 *ST众和 钱江水利#全民赛实盘#', '2018-04-08 19:27:11')
('发布了头条文章：《 A股沉睡黑马复苏： 中航沈飞 纵横通信 通化东宝》 $中航沈飞 sh600760$ $纵横通信 sh603602$ $通化东宝 sh600867$ #财经头条# |A股沉睡黑...', '2018-04-05 03:45:58')
('发布了头条文章：《A股神秘走势大揭幕： 纵横通信 宜华生活 振江股份》$纵横通信 sh603602$ $宜华生活 sh600978$ $振江股份 sh603507$ #微博股票# |A股神秘走...', '2018-04-04 04:00:13')
('纵横通信和佳力图都是10转4，都是次新都是热门概念，怎么差别这么大', '2018-04-02 22:16:15')
('中金岭南 000060：去年净利润近11亿元同比增2.3倍 拟10转5派2.5元纵横通信 603602：2017年净利同比增12% 拟10转4派1.5元顶点软件 603383：年报净利同比增4成 拟10转4派5元[其他事项]盈方微 000670：控股股东1.06亿持股4月21日第二次司法拍卖丝路视觉 300556：所承接雄安市民服务 ...展开全文c', '2018-04-02 21:24:46')
('【高送转公告一览】纵横通信 ：拟10转4派1.5元，花园生物 ：年报拟10转15派1.4元，建研集团 ：年报拟10转10派2元，宜昌交运 ：年报拟10转10派1.5元，艾德生物 ：年报拟10转8派2.4元，佳力图 ：拟10转4派2.5元，大烨智能 ：年报拟10转8股派2元，绿茵生态 ：拟10转10派6元。$花园生物 sz300401$ , ...展开全文c', '2018-04-02 20:30:09')
('纵横通信披露年报，公司实现营业收入5.88亿元，同比增15.08% ；实际归属于上市公司股东的净利润5994.69万元，同比增长11.62%，拟10转4派1.5元。点评：送股少了点。', '2018-04-02 13:12:38')
('#纵横通信 sh603602[股票]# 年报：实现营业收入5.88亿元，同比增15.08% ；实际净利润5994.69万元，同比增长11.62%；拟10转4派1.5元。', '2018-04-02 09:08:03')
('国电南瑞中标25亿项目；吉比特，顶点软件花园生物，佳力图，纵横通信净利有所增加仙坛股份新增子公司；诚迈科技通过CMM15评估认证', '2018-04-02 07:54:52')
('【纵横通信年报净利增一成 拟10转4派1.5元——纵横通信年报有高送转，虽然比例不高，也是超预期的利好，又处于5G风口，技术面看量价合理，有望借利好突破】纵横通信（603602）披露年报。2017年，公司实现营业收入58,802.96万元，较上年同期增加7,703.88万元，同比增长15.08%；实际归属于上市公司股东的 ...展开全文c', '2018-04-02 07:16:00')
('发布了头条文章：《最新A股诊断：韦尔股份+纵横通信+金溢科技》 $韦尔股份 sh603501$纵横通信 sh603602$金溢科技 sz002869$ #A股#股票# |最新A股诊...', '2018-04-02 05:47:05')
('【7x24小时】//【纵横通信：年报净利同比增1成 拟10转4派1.5元】纵横通信披露年报@新浪财经客户端 网页链接', '2018-04-02 04:50:26')
('3月份今日收官，股哥的总资产收益率是14.05%，自己还算满意吧。主要操作股票：中线持有大众公用600635，大禹节水300021，东南网架002135。短线操作了智慧农业，纵横通信等。以上操作都在微博上记录过。当然也有对大盘看错过，希望不要给大家带来负面影响。今后的日子我将继续努力做我喜欢做的事情，希 ...展开全文c', '2018-03-30 08:54:17')
('#盘中热点# #股市板块#1、【雄安概念股集体拉升】截至发稿，冀东装备、河北宣工、韩建河山、丝路视觉、中设股份、保变电气、京汉股份等个股集体拉升。2、【5G概念股持续走强】科信技术、润建通信、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 02:13:58')
('13:23下午开盘创业板指数继续不断创出今日分时新高。中小创股的强势不改！现在市场的炒作风口就是这13:585G概念股持续走强。科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 02:04:08')
('5G概念股午后持续走强 科信技术直线封板5G概念股持续走强。截至发稿，科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。在2018云栖大会-深圳峰会物联网专场上，阿里云与中国联通正式宣布达成产品合作。中国联通将结合阿里云的创新物联网安全技术， ...展开全文c', '2018-03-30 01:56:06')
('5G概念股持续走强，科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。随着5G产业链各方在技术、网络环境、硬件条件、行业应用等环节的积极部署，不仅行业未来竞争格局正开始显现， 5G为人生活带来的改变也将更加为人所知，5G带来的改变并不至于对普通 ...展开全文c', '2018-03-30 01:50:09')
('#股市老枪##解盘# 13： 42 5G概念股持续走强。科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 01:41:28')
('$必创科技 sz300667$ $蓝晓科技 sz300487$ $渤海股份 sz000605$ $广生堂 sz300436$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票再次温馨提示：午后继续重点关注好5G概念股之剑桥科技，纵横通信，武汉凡股，中通国脉，美格智能，后市还会持续拉升的！ 因为雄安这张牌都是名牌，潜伏盘 ...展开全文c', '2018-03-30 01:39:22')
('前天推荐.纵横通信.目前已经5个利润.止盈离场.', '2018-03-30 01:37:46')
('我们此前让大家重点关注的5G+次新股纵横通信（603602）开始火箭大爆发，注意5G的强炒作机会，目前还没有大炒，距离风口已经不远了！#投资达人说# @微博股票 $乐视网 sz300104$ $贵州茅台 sh600519$', '2018-03-30 01:34:47')
('雄安的老龙头冀东装备一杆要冲板，雄安一周年大概率会有重磅雄安消息，资金都在赌雄安有消息，遂午后才这么拉。午后继续重点关注好5G概念股之剑桥科技，纵横通信，武汉凡股，中通国脉，美格智能，后市还会持续拉升的！', '2018-03-30 01:29:59')
('题材股方面：大家一定要跟踪好5G概念股，近期的走势有点蠢蠢欲动了，老梁直播最近也在反复推荐相关概念股，周三尾盘直播分享的福利金股之剑桥科技603086有再次突破上涨的动力，大家可以继续重点关注，还有老情人纵横通信，武汉凡谷，中通国脉，美格智能这些直播的老情人，都可以逢低重点关注！', '2018-03-29 22:31:37')
('$七一二 sh603712$ $贵州茅台 sh600519$ $格力电器 sz000651$ $万科Ａ sz000002$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票题材股方面：大家一定要跟踪好5G概念股，近期的走势有点蠢蠢欲动了，老张直播最近也在反复推荐相关概念股，老情人纵横通信，武汉凡谷，中通国脉，美格智能 这些都可 ...展开全文c', '2018-03-29 22:30:48')
('$天源迪科 sz300047$ $纵横通信 sh603602$ $中通国脉 sh603559$ $武汉凡谷 sz002194$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票盘前淘金：天源迪科300047 年前的股灾就很抗跌，有资金进行护盘，在上周开始的股灾后，3月23日再度呈现出极度抗跌的特性，在千股跌停当日，下跌仅仅5%，如果不是 ...展开全文c', '2018-03-29 21:16:47')
('好了试水昨天进的移为通信，纵横通信全部锁定利润了今天不开新仓了目前不是高手基本上进去都吃面等市场稳定后再做机会属于耐心的人', '2018-03-27 22:59:06')
('直播前面重点挖掘的5G概念三剑客之002881美格智能最近两个交易日出现了连续涨停板，走势非常强势，大家也要注意暂时没有大幅拉升的纵横通信和剑桥科技，曾经的王者，肯定会择机强势回归，大家密切关注！', '2018-03-27 22:55:30')
('5G板块异动，广和通直线封涨停，华脉科技、科信技术、纵横通信、超讯通信等均有拉升。', '2018-03-27 22:53:05')
('“传统”5G股老龙头异动，科信技术、吉大通信、纵横通信快速拉升大涨。#今日看盘# @微博股票', '2018-03-27 22:39:56')
('昨天进的移为通信板了纵横拉起来了有的及时锁定利润，移为通信如不打开涨停就拿', '2018-03-27 22:38:00')
('买华鑫股份 承诺更大的开放，买纵横通信 感觉从软件发散到5G，买四川九州，军工还是配点吧，感觉很强啊！结果 打脸', '2018-03-27 00:13:41')
('5G概念股表现强势 万马科技、深南股份、美格智能、中富通等7股涨停！剑桥科技、中石科技、纵横通信、广和通、吉大通信、中通国脉均有较大涨幅。', '2018-03-26 22:56:42')
('5G板块早盘走强。截至发稿，东信和平、鹏博士、中石科技、纵横通信、金信诺、佳力图、恒泰实达、欣天科技等个股纷纷走高。', '2018-03-26 22:43:34')
('【大盘：5G概念股走强 万马科技等7股涨停】5G概念股早盘快速走强。截至发稿，万马科技、深南股份(12.970, 1.18, 10.01%)、美格智能(29.800, 2.71, 10.00%)、中富通(31.670, 2.88, 10.00%)等7股涨停，剑桥科技(45.000, 2.85, 6.76%)、中石科技(54.060, 3.81, 7.58%)、纵横通信(48.390, 2.73, 5.98%)、广 ...展开全文c', '2018-03-26 22:23:54')
('【5G概念股活跃走强 纵横通信涨超6%】今日早盘，5G概念股活跃走强，截至发稿，纵横通信涨6.61%，中富通，美格智能，润建通信，日海通讯，金信诺，天和防务，中通国脉等股涨超4%。|5G概念股活...', '2018-03-26 22:17:46')
('5G概念股活跃走强，润建通信、新雷能、中富通、美格智能涨停，剑桥科技、日海通讯、纵横通信涨超6%；#新雷能 sz300593[股票]# #美格智能 sz002881[股票]# #润建通信 sz002929[股票]#', '2018-03-26 22:14:26')
('5G板块表现抢眼，深南股份率先涨停，纵横通信、金信诺、日海通讯、华脉科技紧随其后。$上证指数 sh000001$ $深证成指 sz399001$ $创业板指 sz399006$', '2018-03-26 22:00:15')
('5G通讯提前潜伏进场：#纵横通信 sh603602[股票]# 纵横通信，大家跟踪关注。#财经##大盘-个股-趋势-解答##股票推荐#', '2018-03-26 21:54:49')
('|武小松的图...【5G】泛科技延续强势，芯片、工业互联网等表现突出，这波5G板块最为活跃，龙1新雷能，龙2广哈通信，龙3纵横通信，昨日工信部表示要加快发展5G、新材料等新兴产业。', '2018-03-26 21:50:08')
('发布了头条文章：《A股走势精准预测：东尼电子+能科股份+哈森股份+纵横通信》 $东尼电子 sh603595$ $能科股份 sh603859$ $哈森股份 sh603958$ $纵横通信 sh603602$ #上证快讯# |A股走势精...', '2018-03-23 04:03:51')
('【5G概念板块午后走强，纵横通信涨逾7%】5G概念板块午后走强，纵横通信涨逾7%，华脉科技涨6%，武汉凡谷、广和通、盛路通信均有拉升表现。', '2018-03-21 02:02:01')
('5G概念股集体拉升时间:2018.03.21 13:555G概念股集体拉升。英维克、思特奇涨停！纵横通信、武汉凡谷、广和通、移为通信、中通国脉、剑桥科技、佳力图、紫光国芯等个股集体拉升。', '2018-03-21 01:56:23')
('#盘中热点##财经快讯#1、【5G概念股集体拉升】纵横通信、武汉凡谷、广和通、移为通信、中通国脉、剑桥科技、佳力图、紫光国芯等个股集体拉升。2、【汽车股拉升走强】亚星客车、安凯客车、一汽夏利、东风汽车、中通客车、众泰汽车、江淮汽车、金杯汽车等个股均有拉升。3、【独角兽板块 ...展开全文c', '2018-03-21 01:55:01')
('5G启动，热点继续轮动，$纵横通信 sh603602$ 、$武汉凡谷 sz002194$ 、$中通国脉 sh603559$ 分时均有异动拉升。#今日看盘# 网页链接', '2018-03-21 01:40:49')
('盘面没什么要多说的，持仓股海澜之家有点伪，想卖了，赣锋锂业还要再等等。5G板块全线走强，广哈通信封板，纵横通信大涨，华脉科技、中通国脉纷纷跟涨。$广哈通信 sz300711$ $纵横通信 sh603602$ $华脉科技 sh603042$', '2018-03-21 01:39:20')
('通信设备午后快速上涨，广哈通信，国美通信冲击涨停！纵横通信，移为通信，华脉科技，武汉凡谷快速拉升。', '2018-03-21 01:34:30')
('我们给大家带来一只强势股——#纵横通信 sh603602[股票]# ，大家可以现价重点关注！煤炭板块是权重板块中第一个创出调整新低的。所以我们是要防范大盘或其他权重板块步后尘，目前机会都在大会题材中，其他的都不管', '2018-03-21 01:34:26')
('5G概念股集体拉升，纵横通信、武汉凡谷、广和通、移为通信、中通国脉、剑桥科技、佳力图、紫光国芯等个股集体拉升', '2018-03-21 01:33:47')
('发布了头条文章：《纵横通信(603602)： 主力蓄势待发，后市或将“逆势成妖”！》 #财经热点榜单# #我要上头条# $纵横通信 sh603602$ #纵横通信 sh603602[股票]# |纵横通信(6...', '2018-03-18 10:18:31')
('发布了头条文章：《603602纵横通信：主力预谋待发，散户们心惊胆战！》 $纵横通信 sh603602$ #财经头条# #微博股票# |603602纵横...', '2018-03-18 02:32:22')
('发布了头条文章：《A股下周走势大揭秘： 中国软件 纵横通信 重庆啤酒》 $中国软件 sh600536$ $纵横通信 sh603602$ $重庆啤酒 sh600132$ #微博股票# #新浪股票#  @新浪财经 $上证指数 sh000001$ #上证快讯# |A股下周走...', '2018-03-17 23:20:30')
('发布了头条文章：《A股主力锋芒毕露 : 纵横通信 安德利 九华旅游》 $纵横通信 sh603602$ $安德利 sh603031$ $九华旅游 sh603199$  #微博股票# #新浪股票#  @新浪财经 $上证指数 sh000001$ #上证快讯# |A股主力锋...', '2018-03-15 02:49:10')
('去年8月中科信息成为龙头以来。次新股开板直接拉连续换手板的，第一是澄天伟业六连板，第二个是泰永长征，五连板，（纵横通信中间有一字板顶着。所以，排除在外）而2018年至今，只有泰永长征开板后直接上了五连板！关注他的奇特性！中国铝业什么时候拉一下！？', '2018-03-14 10:07:49')
('#5g# 市场上需要白马、黑马要小心、白马可以在市场上纵横驰骋，黑马小心马失前蹄！对于5G这一板块中的个股来说，今天不防可以考虑低吸一下！！个股自己可以选择一下！我看好$中通国脉 sh603559$ 、$纵横通信 sh603602$ 、$中富通 sz300560$', '2018-03-14 01:48:01')
('中科信息这种趋势走出来的，你完全可以联想到去年同期股性比较好的品种，建科院，澄天伟业，纵横通信，设计总院这些是我想到的联动比较好的品种~！', '2018-03-14 01:21:31')
('中科信息这种趋势走出来的，你完全可以联想到去年同期股性比较好的品种，建科院，澄天伟业，纵横通信，设计总院这些是我想到的联动比较好的品种。一个小时700亿的成交，刺激不了热点，现在能有新能源已经不错了，我们继续看戏，不操作了。没有行情的时候就是看着，不要猛干，找小机会做短线，大板块不 ...展开全文c', '2018-03-13 22:41:19')
('中科信息二板，这只股是去年的妖股，曾经跟风品种有澄天伟业，纵横通信，还有就是中科系成员，东方中科，中国科传等，我估计建科院这种很可能也会有资金来做的。游资做的票和机构不同，游资是认可一个题材，连续拉升，接力，而机构则是拉拉停停，属于不涨停但是涨不停的节奏。比如锂电池，钴涨价这种， ...展开全文c', '2018-03-13 22:38:47')
('中科信息的跟风盘出现，澄天伟业涨停，我刚才说的。那么我估计建科院这种很可能也会有资金来做的。中科信息这种趋势走出来的，你完全可以联想到去年同期股性比较好的品种，建科院，澄天伟业，纵横通信，设计总院这些是我想到的联动比较好的品种$上证指数 sh000001$#今日看盘##微博股票#', '2018-03-13 22:33:34')
('$中科信息 sz300678$ 二板，这只股是去年的妖股。曾经跟风品种有$澄天伟业 sz300689$ ，$纵横通信 sh603602$ 。还有就是中科系成员，$东方中科 sz002819$ ，$中国科传 sh601858$ 等。#微博股票# #今日看盘# #大盘行情#', '2018-03-13 22:17:10')
('上周五尾盘布局：603602 纵横通信，短线持股3天获利5%以上，今天全部通知清仓出局锁定收益，近期整体盘面不是很好，谨慎操作为主。', '2018-03-13 02:26:35')
('可喜可贺，老梁昨天午盘直播福利金股再次点评推荐的(纵横通信)603602午后开始火箭发射，逆势拉升，早盘有低吸的铁粉，目前收益不低于5%，该股直播是反复提示的，大家查看前面直播便知真假！', '2018-03-13 02:14:00')
('市场今天应该是震荡收场了，是一种修复状态，创业板离1900点大关近在咫尺，突破应该没有悬念。5G原龙头纵横通信开始发力了，希望能带动整个5G板块启动，金哥说过5G每次启动都在盘尾，这是不断吸筹的一种做法，大家可以继续持有！ 网页链接', '2018-03-13 02:08:37')
('5G原龙头纵横通信开始发力了，希望能带动整个5G板块启动，虎啸说过5G每次启动都在盘尾，这是不断吸筹的一种做法，大家可以继续持有！#投资达人说# @微博股票 $东土科技 sz300353$ $海得控制 sz002184$', '2018-03-13 01:58:20')
('截至目前超级热点5G股尚未出现大涨股，板块整体进入调整日，吉大通信、纵横通信等领跌，热点很可能降温。#今日看盘# @微博股票', '2018-03-12 22:09:36')
('老梁独家福利金股：上周反复提示低吸的老情人之纵横通信603602大家密切关注，这波行情远远没有走完，后市有望继续强势拉升！', '2018-03-12 02:22:11')
('今天被单位派出去公出没时间看，先把纵横通信出掉，虽然只是苍蝇腿，但也是肉啊@给你一个杠杆 #股票##大盘指数#', '2018-03-11 21:56:02')
('发布了头条文章：#.今日看盘.# #韩建河山 sh603616[股票]# #威唐工业 sz300707[股票]# #天永智能 sh603895[股票]# #武汉凡谷 sz002194[股票]# #纵横通信 sh603602[股票]# #用友网络 sh600588[股票]# 《题材炒作控节奏，二八转换正当时！》 |题材炒作控...', '2018-03-11 09:20:59')
('发布了头条文章：《纵横通信603602：最新消息流出，99%散户还在茫然！》$纵横通信 sh603602$ #热门股票点评#热门个股#热门股票推荐# |纵横通信60...', '2018-03-10 21:17:47')
('一周总结：这周操作了赛腾股份 华菱精工 泰禾集团 奇精机械 联城精密 农发种业 朗博科技等个股，总体来说都是盈利的，都没有重仓位，总体盈利大概五个点，最揪心莫过于错过了纵横通信两次，生生的看着它一瞬间拉上去，操作上以稳为主，很久都没有全仓了，被年前的一次大跌吓住了。市场风险在加大，手中 ...展开全文c', '2018-03-09 03:08:48')
('好久没有贴股友盈利图了 上午通知飞策略用户603559 中通国脉止盈出局 尾盘布局3只策略股之一的：603602 纵横通信 联合布局进场直接拉升股价 最高涨幅9.82% 当天买进获利超过4500 另外布局的2只票涨幅不是很大 都耐心持有 跟着我心态放好稳健收益不是问题', '2018-03-09 02:20:26')
('一堆5G异动，老梁直播今天反复提示要注意低吸武汉凡谷002194强势涨停，纵横通信603602也大涨6%，这样的表现大家还满意？查看前面文章，有图有真相，今晚好好复盘，盘面热度很高，今天创业板突破了，大盘继续支持反弹，虽然大概率会有分化，但下周还是机会多多，周末轩阳一定要再接再厉，好好选股！ ...展开全文c', '2018-03-09 02:07:59')
('$纵横通信 sh603602$ 果然大幅拉高，差丢丢就蹦板儿了。#微博股票# $创业板指 sz399006$', '2018-03-09 01:57:15')
('昨天尾盘票之一$纵横通信 sh603602$ 强势拉升，江粉磁材$领益智造 sz002600$ 也顺势恭喜抢跑的朋友 活该你们盈利', '2018-03-08 20:59:36')
('万兴科技+泰永长征：妖王与妖后组合，一如当年的中科信息+纵横通信，贵州燃气+华森制药的组合，联袂特停~关注明天谁来接力。万兴6板泰永4板被特停，高位股被警示，那么明天又要开始一轮新的创造龙头的阶段了，也是市场从一致到分歧的新的博弈~明天要出新的接力龙头，同时看好低位首板标的； ...展开全文c', '2018-03-08 18:48:38')
('次新股概念集体走强，金奥博，纵横通信，创业黑马，太龙照明，泰永长征，江苏租赁，梅伦电梯涨停，阿石创涨逾9%，亿联网络，万兴科技涨逾8%。', '2018-03-08 03:18:47')
('603602纵横通信，7日凌晨提到，2月9日厦门厦禾路一家独大主导失败，看当前的筹码分布密集区大概就是他们当时买入的成本，所以大概率厦禾路当时并没有选择止损，那么据此分析的话6日的涨停板自然也是他们主导，厦禾路不愧为顶级游资，6日快速拉升后直接封死涨停，因为筹码多集中在自己手中，又封的很死 ...展开全文c', '2018-03-07 14:47:51')
('当出现一个大题材的时候，真龙 往往从次新里面出来，天然气叠加贵州扶贫概念——贵州燃气 医药——华森制药，芯片——国科微，江丰电子，兆易创新。区块链——宣亚国际，雄安——建科院 5g——中通国脉 纵横通信 人工智能——中科信息 锂电池——寒锐钴业 等等。为什么呢？因为，刚刚上市的 ...展开全文c', '2018-03-07 03:43:34')
('发布了头条文章：《603602 纵横通信：主力杀个回马枪，霸气反攻拉开飙涨序幕》 $纵横通信 sh603602$ #财经头条# |603602 纵...', '2018-03-07 02:06:45')
('发布了头条文章：《最新重磅牛股：华森制药+实丰文化+纵横通信》 $华森制药 sz002907$实丰文化 sz002862$纵横通信 sh603602$ #A股#股票# |最新重磅牛...', '2018-03-06 22:29:37')
('$万兴科技 sz300624$ $佳都科技 sh600728$ $创业黑马 sz300688$ $东土科技 sz300353$ $药石科技 sz300725$ $纵横通信 sh603602$ 目前持股万兴，2市唯二4板，另外一只海得控制还没经历市场的检验，可参与性不高。东土2天都没炸，后续2波概率很大，等一下5日线（今天开盘5日线会在17左右）。佳都今天分歧 ...展开全文c', '2018-03-06 17:37:50')
('5g龙头纵横通信反转趋势，可以搞搞。', '2018-03-06 10:32:04')
('#股票涨停#今日国产芯片概念股拉升，全志科技、阿石创一度涨停，江丰电子、兆易创新、景嘉微、北京君正、国科微等个股快速拉升。5G概念强势，纵横通信、润建通信涨停，广和通、中富通、华脉科技、中通国脉、移为通信等个股涨超居前。深圳板块异动，深纺织A、深华发A一度冲板，深天地A、深物业A快速拉 ...展开全文c', '2018-03-06 09:39:02')
('5G出现异动，午前金信诺、东土科技涨停，午后中通国脉、武汉凡俗，纵横信息、东方国信等出现拉升——2018世界移动通信大会(MWC)前夕，华为正式发布了首款3GPP标准(全球权威通信标准)的5G商用芯片——巴龙5G01，以及基于该芯片的首款3GPP标准5G商用终端——华为5G CPE。华为消费者业务首席执行官余承东 ...展开全文c', '2018-03-06 09:25:25')
('6.5g概念早盘纵横通信带领5g反弹，广和通冲板被砸，也是前期老概念反抽。#今日看盘##投资达人说# $安彩高科 sh600207$ $用友网络 sh600588$ @微博股票', '2018-03-06 08:26:01')
('发布了头条文章：《最新主力资金布局揭秘：山西焦化 阳泉煤业 国芳集团 大众交通》 #上证快讯#微博股票#微博财经#新浪股吧# $深圳新星 sh603978$ $纵横通信 sh603602$新安股份 sh600596$长江投资 sh600119$ |最新主力资...', '2018-03-06 07:45:11')
('发布了头条文章：《A股主力蓄谋已久：江苏租赁 深圳新星 纵横通信 丽岛新材》 #大盘直击# #投资达人说# #牛股推荐# $江苏租赁 sh600901$ $深圳新星 sh603978$ #纵横通信 sh603602[股票]# $丽岛新材 sh603937$ |A股主力蓄...', '2018-03-06 04:48:30')
('跟著政策、产业趋势走，MWC大展股涨停，新作业好好研究！#投资达人说# $纵横通信 sh603602$ $上证指数 sh000001$#秒拍# #新浪股票#', '2018-03-06 04:33:14')
('发布了头条文章：《纵横通信603602:盘面透露重大现象，后期走势大揭秘!》#财经头条文章# $纵横通信 sh603602$ 纵横通信603602:盘面透露重大现象，后期走势大揭秘! |纵横通信60...', '2018-03-06 02:46:09')
('昨天的策略，$纵横通信 sh603602$ $广和通 sz300638$ 好吧我潜伏的那只就是最强的！', '2018-03-06 01:29:27')
('5G板块异动，龙头纵横通信直线封板，富春股份大涨6%，广和通、佳力图、中通国脉涨雄安新区板块大幅走强，龙头冀东水泥大涨7%，建科院涨5%，冀东装备、中设股份、宝硕股份跟涨', '2018-03-06 00:19:02')
('全国两会行情：纵横通信（603602）：@东方财富网', '2018-03-06 00:11:27')
('上午杭州园林、纵横通信、海兰信等强势上板，目的很明确，场内热点工业互联、独角兽短线调整的时候拉出老妖股来活跃市场人气，后续继续发力', '2018-03-06 00:11:00')
('发布了头条文章：《A股上演主力阴谋论：纵横通信+亿帆医药+中国神华》 |A股上演主...', '2018-03-05 23:47:27')
('深成指10点54分就将缺口补上然后反弹，早盘泰永长征涨停带领次新股走了一波，然后5G概念纵横通信涨停，带动了5G板块，还有雄安新区的冀东水泥一波超跌反弹以及深圳国企改革板块异动，深纺织A率先涨停带动深华发等，但是封板不严，主线逻辑还是最强的独角兽概念，但是估计还有2日的热度左右就没了，好似 ...展开全文c', '2018-03-05 23:13:52')
('【股市：强势板块】今天3月6日早盘，芯片概念股走强，阿石创、全志科技、综艺股份，江丰电子、移为通信、兆易创新等公司大涨；；；5G概念表现强势，纵横通信、润建通信，广和通、中富通、华脉科技、中通国脉、移为通信等公司大涨。', '2018-03-05 22:44:45')
('风险都是相对的，不愿承担下跌的风险，就要承担错过上涨的风险。昨天减仓纵横通信，今天完美错过一个涨停！', '2018-03-05 22:01:56')
('次新股也如早评所说，会有反弹机会，可以寻机会，看看分时也是强势明显。纵横通信、阿石创、力盛赛车、药石科技等多只次新涨停，所以想操作有收获，还是要提前捕捉热点。', '2018-03-05 21:50:09')
('$上证指数 sh000001$ #微博股票# 5G板块今日异动，（603602纵横通信）（300299富春股份）直线封板，（300638广和通）（603912佳力图）（603559中通国脉）等大幅跟涨拉起，后面还可以留意一些短线机会', '2018-03-05 21:48:03')
('【5G概念表现强势 纵横通信涨停】3月6日早盘，5G概念表现强势，纵横通信、润建通信涨停，广和通、中富通、华脉科技、中通国脉、移为通信等个股涨超4%。两会期间,全国人大代表、中国信息通信研究院院长刘多表示,5G第一版国际标准将于今年6月完成。|5G概念表现...', '2018-03-05 21:42:05')
('5G板块异动，龙头纵横通信直线封板，富春股份大涨6%，广和通、佳力图、中通国脉涨4%。主板上券商强势反弹，指数仍在5-10日线之间反复，盘面整体还在偏向于震荡调整；芯片、集成电路等板块再次活跃，创业板在震荡中缓慢拉升，这里也需要适当的注意一下不要追高。#今日看盘# $创业板指 sz399006$', '2018-03-05 21:35:29')
('$上证指数 sh000001$中小创以及题材股表现活跃，热点5G板块异动，纵横通信直线封板，富春股份大涨，广和通、佳力图、中通国脉跟涨。 网页链接', '2018-03-05 21:32:57')
