('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声 $东山精密 sz002384$ $璞泰来 sh603659$ $罗平锌电 sz002114$ $太极股份 sz002368$ 论A股堂的...', '2018-07-24 10:58:37')
('前天晚上的付费文章，脱水君将“数字中国”作为头版头条放置，因意识到重要性，心急火燎的分享了一些公司给大家。果不其然，昨天市场给予了明显正反馈。今天，概念最正宗龙头太极股份再度涨停，免费分享逻辑给大家作参考 |炒作级别堪...', '2018-04-02 01:50:21')
('数字福建→数字中国//@选股宝APP: 数字中国，了解一下？', '2018-03-28 02:23:25')
('前天晚上的付费文章，脱水君将“数字中国”作为头版头条放置，因意识到重要性，心急火燎的分享了一些公司给大家。果不其然，昨天市场给予了明显正反馈。今天，概念最正宗龙头太极股份再度涨停，免费分享逻辑给大家作参考 |炒作级别堪...', '2018-03-28 03:20:46')
('昨晚写一遍数字中国今晚，再写一遍，想必是很确定了//@选股宝APP: 市场第一家分享数字中国的脱水君！', '2018-03-27 09:17:34')
('昨日标的太极股份、新大陆、三联虹普、恒生电子涨停，美亚柏科涨逾9个点。泰格医药继续趋势。今天①全年最大的风口找到了！数字中国简直媲美工业互联网，刚刚开始炒作，概念股全扫杀；②一家钴锂新贵，筹备入股Arcadia锂矿（全球第六大锂矿），参与收购刚果（金）3个铜钴矿；③中小创为什么这么猛？复 ...展开全文c', '2018-03-27 09:24:10')
('检查下自己手中的个股是否是“三无”个股，可以趁着大跌的时候，等跌幅超跌幅调仓换股，存量资金博弈下，死捂三股个股只会跟跌不跟涨！//@天然痴呆萌:感谢辉哥，这种行情我还有小赚，真是热泪盈眶啊！！！', '2017-12-20 21:25:50')
('今日热点的中国芯继续活跃，阿石创强势封板，太极股份、士兰微、样机科技等逆势拉升，5G也在点睛股广和通带动下相对活跃。#战舰粉丝团# #短线牛股#', '2017-12-20 21:45:56')
('今天下午28.7以上全部卖出了太极股份，66.2全部卖出了裕同科技，44以上卖出了新泉股份，42.5一下买入海兴电力，明天逢低继续买入精锻科技。 |石家庄·城...', '2017-09-20 08:42:26')
('简单说了下芯片替代集成电路板块到了尾盘会有分化即涨停的会打开，弱一点的会冲高回落！打开涨停的有：太极股份、华天科技、扬杰科技、冲涨停回落：上海贝岭、苏州固锝、欧比特即这就是即使最热的热点你若过分追7、8个点的高也是有很大风险的这些炸板的次日大概率是低开还要埋一点，追这种热点，在 ...展开全文c', '2017-09-20 02:25:12')
('【今日解禁个股】000837秦川机床、002078太阳纸业、002138顺络电子、002168深圳惠程、002368太极股份、002614奥佳华、002683宏大爆破、300190维尔利、300204舒泰神', '2017-09-18 21:25:34')
('限售股解禁：000837 秦川机床、002078 太阳纸业、002368 太极股份、002614 奥佳华、002683 宏大爆破。复牌博闻科技、神州高铁、格力电器、升达林业、围海股份、金轮股份、美芝股份、博济医药、合纵科技、达安股份、杭州园林！停牌五矿资本、中国武夷。', '2017-09-18 21:19:11')
('限售股解禁：000837 秦川机床、002078 太阳纸业、002368 太极股份、002614 奥佳华、002683 宏大爆破。', '2017-09-18 21:10:44')
('明天大跌！满仓干！中小创遍地黄金！只要那个行业那个企业的价值体系未恶化！怕毛！我顶太极股份！满仓融资干', '2017-09-07 07:39:40')
('二、《2017首届中国雄安智慧城市建设博览会》于9月12日在石家庄人民会堂会展中心举行A股相关上市公司：太极股份，CETC大数据上市平台，大概率与雄安共建数据中心；亨通光电，多次中标三大运营商集采项目，或受益于雄安5G商用基地建设光纤光缆需求；信维通信，射频器件龙头，有望受益 ...展开全文c', '2017-09-05 21:08:55')
('#太极股份 sz002368[股票]# 该股短期缩量企稳，暂时回调之后还有进一步上攻的机会，120日线附近就是机会', '2017-08-27 21:13:19')
('中国电科旗下上市公司中，太极股份主营智慧城市、大数据业务。与阿里云战略合作，共推政务大数据解决方案；定增收购宝德计算机和量子伟业，构建大数据云计算基础设施和智慧城市数据平台服务体系；公司在大数据、云计算、智慧城市建设方面已与天津、石家庄展开合作，并刚刚与云上贵州签订战略合作协议。 ...展开全文c', '2017-08-26 00:58:12')
('东吴证券：网络空间成为国家第五疆域，网络作战有望成为顶级战略作战方式。信息化军队逐步推广，网络安全防护需求升级。国防网络安全行业有望迎来爆发，预计中国网络空间国防有望催生千亿产业，本土网络安全行业有望诞生一两家千亿市值公司。推荐：卫士通、启明星辰、美亚柏科、中国长城、太极股份。', '2017-08-18 21:30:03')
('【特朗普宣布美军网络司令部升级】美国总统特朗普18日宣布美军网络司令部升级，以提升美国网络行动和国防水平。网络司令部升级后将成为美军第十个联合作战司令部，地位与美国中央司令部等主要作战司令部持平。特朗普在一份声明中说，网络司令部升级体现了美国抵御网络威胁的决心，能够消除美国盟友和伙 ...展开全文c', '2017-08-24 23:51:05')
